1, 1003.44
2, 999.63
3, 1010.86
4, 1158.47
5, 1158.47
6, 1227.09
7, 1313.25
8, 1444.61
9, 1446.84
10, 1452.83
11, 1454.49
12, 1455.58
13, 1458.19
14, 1458.28
15, 1458.96
16, 1459.77
17, 1460.37
18, 1460.40
19, 1461.06
20, 1461.10
21, 1461.18
22, 1461.23
23, 1493.44
24, 1493.56
25, 1505.89
26, 1507.41
27, 1508.63
28, 1512.82
29, 1512.82
30, 1515.27
31, 1517.45
32, 1521.35
33, 1530.80
34, 1531.16
35, 1535.16
36, 1587.32
37, 1587.32
38, 1918.33
39, 1921.20
40, 1961.25
41, 3057.60
42, 3061.80
43, 3062.40
44, 3062.40
45, 3062.40
